#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
P2590968.jpg,285895,"{}",6,0,"{""name"":""rect"",""x"":217,""y"":444,""width"":39,""height"":39}","{}"
P2590968.jpg,285895,"{}",6,1,"{""name"":""rect"",""x"":307,""y"":477,""width"":44,""height"":40}","{}"
P2590968.jpg,285895,"{}",6,2,"{""name"":""rect"",""x"":608,""y"":462,""width"":62,""height"":57}","{}"
P2590968.jpg,285895,"{}",6,3,"{""name"":""rect"",""x"":842,""y"":529,""width"":62,""height"":64}","{}"
P2590968.jpg,285895,"{}",6,4,"{""name"":""rect"",""x"":902,""y"":476,""width"":63,""height"":56}","{""difficult"":""y""}"
P2590968.jpg,285895,"{}",6,5,"{""name"":""rect"",""x"":1887,""y"":538,""width"":46,""height"":97}","{""difficult"":""y""}"
P2590966.jpg,814635,"{}",4,0,"{""name"":""rect"",""x"":832,""y"":386,""width"":87,""height"":83}","{}"
P2590966.jpg,814635,"{}",4,1,"{""name"":""rect"",""x"":773,""y"":364,""width"":30,""height"":45}","{""difficult"":""y""}"
P2590966.jpg,814635,"{}",4,2,"{""name"":""rect"",""x"":700,""y"":348,""width"":26,""height"":27}","{}"
P2590966.jpg,814635,"{}",4,3,"{""name"":""rect"",""x"":541,""y"":382,""width"":33,""height"":26}","{}"
P2590965.jpg,343318,"{}",6,0,"{""name"":""rect"",""x"":499,""y"":441,""width"":93,""height"":95}","{}"
P2590965.jpg,343318,"{}",6,1,"{""name"":""rect"",""x"":857,""y"":382,""width"":58,""height"":41}","{""difficult"":""y""}"
P2590965.jpg,343318,"{}",6,2,"{""name"":""rect"",""x"":1060,""y"":383,""width"":73,""height"":64}","{}"
P2590965.jpg,343318,"{}",6,3,"{""name"":""rect"",""x"":1556,""y"":400,""width"":62,""height"":70}","{}"
P2590965.jpg,343318,"{}",6,4,"{""name"":""rect"",""x"":1926,""y"":462,""width"":70,""height"":108}","{""difficult"":""y""}"
P2590965.jpg,343318,"{}",6,5,"{""name"":""rect"",""x"":1232,""y"":356,""width"":63,""height"":68}","{""difficult"":""y""}"
P2590964.jpg,334462,"{}",6,0,"{""name"":""rect"",""x"":399,""y"":423,""width"":106,""height"":99}","{}"
P2590964.jpg,334462,"{}",6,1,"{""name"":""rect"",""x"":796,""y"":413,""width"":74,""height"":74}","{}"
P2590964.jpg,334462,"{}",6,2,"{""name"":""rect"",""x"":993,""y"":382,""width"":89,""height"":98}","{}"
P2590964.jpg,334462,"{}",6,3,"{""name"":""rect"",""x"":1264,""y"":456,""width"":106,""height"":91}","{}"
